"filename", "language", "Markdown", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\DEBUG_PROGRESS_TRACKING.md", "Markdown", 179, 0, 0, 0, 71, 250
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\lessons.ts", "TypeScript", 0, 127, 0, 1, 12, 140
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\schema.ts", "TypeScript", 0, 10, 0, 2, 2, 14
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\app\app\courses\[courseId]\CourseDetailsWrapper.tsx", "TypeScript JSX", 0, 0, 39, 5, 5, 49
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\app\app\courses\[courseId]\modules\[moduleId]\lessons\[lessonId]\LessonClientWrapper.tsx", "TypeScript JSX", 0, 0, 102, 25, 15, 142
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\app\app\courses\[courseId]\modules\[moduleId]\lessons\[lessonId]\page.tsx", "TypeScript JSX", 0, 0, 75, 15, 12, 102
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\app\app\courses\[courseId]\modules\[moduleId]\page.tsx", "TypeScript JSX", 0, 0, 196, 11, 13, 220
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\app\app\courses\[courseId]\page.tsx", "TypeScript JSX", 0, 0, 95, 1, 12, 108
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\course\ModuleList.stories.tsx", "TypeScript JSX", 0, 0, 11, 0, 2, 13
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\course\ModuleList.tsx", "TypeScript JSX", 0, 0, 28, 2, 2, 32
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\course\__tests__\ModuleList.test.tsx", "TypeScript JSX", 0, 0, 2, 0, 0, 2
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\lesson\LessonPlayer.tsx", "TypeScript JSX", 0, 0, 1, 0, 0, 1
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\lesson\LessonViewer.tsx", "TypeScript JSX", 0, 0, 1, 0, 0, 1
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\hooks\useProgress.ts", "TypeScript", 0, 212, 0, 15, 19, 246
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\utils\routing.ts", "TypeScript", 0, 135, 0, 46, 28, 209
"Total", "-", 179, 484, 550, 123, 193, 1529
