"filename", "language", "Markdown", "TypeScript JSX", "TypeScript", "JSON with Comments", "JSON", "YAML", "comment", "blank", "total"
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.windsurf\workflows\clerk.md", "Markdown", 66, 0, 0, 0, 0, 0, 0, 31, 97
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.windsurf\workflows\convex.md", "Markdown", 175, 0, 0, 0, 0, 0, 0, 18, 193
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.windsurf\workflows\frontend.md", "Markdown", 126, 0, 0, 0, 0, 0, 0, 52, 178
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.windsurf\workflows\gigsy-applications.md", "Markdown", 54, 0, 0, 0, 0, 0, 0, 18, 72
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.windsurf\workflows\gigsy-chat.md", "Markdown", 74, 0, 0, 0, 0, 0, 0, 25, 99
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.windsurf\workflows\gigsy-gigs.md", "Markdown", 55, 0, 0, 0, 0, 0, 0, 20, 75
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.windsurf\workflows\gigsy-payment.md", "Markdown", 59, 0, 0, 0, 0, 0, 0, 21, 80
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.windsurf\workflows\next-tailwind.md", "Markdown", 63, 0, 0, 0, 0, 0, 0, 15, 78
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex.json", "JSON", 0, 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\_generated\api.d.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 22
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\finance.ts", "TypeScript", 0, 0, 572, 0, 0, 0, 131, 110, 813
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\internal\healthQueries.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 3, 19
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\internal\index.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 3, 7, 46
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\internal\reconcileQueries.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 4, 28
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\internal\walletBalances.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 3, 18
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\internal\walletInit.ts", "TypeScript", 0, 0, 190, 0, 0, 0, 22, 23, 235
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\internal\walletMutations.ts", "TypeScript", 0, 0, 110, 0, 0, 0, 7, 12, 129
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\internal\walletTransactions.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 2, 16
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\reconcile.ts", "TypeScript", 0, 0, 443, 0, 0, 0, 90, 76, 609
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\schema.ts", "TypeScript", 0, 0, 32, 0, 0, 0, -1, 2, 33
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\types\internal.d.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 0, 2, 35
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\users.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 2, -4, 7
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\wallet.ts", "TypeScript", 0, 0, 138, 0, 0, 0, 9, 23, 170
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\walletApi.ts", "TypeScript", 0, 0, 61, 0, 0, 0, 6, 9, 76
