"filename", "language", "JavaScript", "Markdown", "JSON", "TypeScript", "TypeScript JSX", "YAML", "comment", "blank", "total"
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\schema.ts", "TypeScript", 0, 0, 0, 132, 0, 0, 0, 7, 139
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\profile\PROFILE_LINKEDIN_STYLE_IMPLEMENTATION_TODO.md", "Markdown", 0, 116, 0, 0, 0, 0, 0, 18, 134
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\profile\USER_PROFILE_IMPLEMENTATION_PLAN.md", "Markdown", 0, 92, 0, 0, 0, 0, 0, 18, 110
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\next.config.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\package.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 30, 0, 2, 32
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\app\app\profile\[profileId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 149, 0, 0, 25, 174
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\app\app\profile\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 11, 0, 0, 6, 17
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\ProfileAbout\ProfileAbout.container.tsx", "TypeScript JSX", 0, 0, 0, 0, 5, 0, 0, 2, 7
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\ProfileAbout\ProfileAbout.ui.tsx", "TypeScript JSX", 0, 0, 0, 0, 28, 0, 0, 5, 33
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\ProfileAbout\index.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\ProfileAbout\types.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 2, 6
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\ProfileEducation\ProfileEducation.container.tsx", "TypeScript JSX", 0, 0, 0, 0, 5, 0, 0, 2, 7
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\ProfileEducation\ProfileEducation.ui.tsx", "TypeScript JSX", 0, 0, 0, 0, 28, 0, 0, 4, 32
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\ProfileEducation\index.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\ProfileEducation\types.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 2, 6
