"filename", "language", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\profile.ts", "TypeScript", 0, 197, 0, 34, 231
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\shared\profile\profileCreationSchema.ts", "TypeScript", 0, 127, 0, 14, 141
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\app\app\profile\[profileId]\edit\ProfileEditForm.tsx", "TypeScript JSX", 738, 0, 0, 64, 802
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\app\app\profile\[profileId]\edit\actions.ts", "TypeScript", 0, 97, 0, 20, 117
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\app\app\profile\[profileId]\edit\page.tsx", "TypeScript JSX", 46, 0, 0, 14, 60
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\app\app\profile\[profileId]\page.tsx", "TypeScript JSX", 8, 0, 0, 0, 8
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\ProfileHeader\ProfileHeader.container.tsx", "TypeScript JSX", 7, 0, 0, 0, 7
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\ProfileHeader\ProfileHeader.ui.tsx", "TypeScript JSX", 2, 0, 0, 0, 2
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\ProfileHeader\ProfileHeaderEditButton.tsx", "TypeScript JSX", 37, 0, 0, 9, 46
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\middleware.ts", "TypeScript", 0, 2, 0, 0, 2
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\services\profile\ProfileRepository.ts", "TypeScript", 0, 25, 0, 2, 27
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\services\profile\ProfileService.ts", "TypeScript", 0, 11, 0, 1, 12
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\services\profile\index.ts", "TypeScript", 0, 3, 0, 0, 3
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\services\profile\profileFetchers.ts", "TypeScript", 0, 46, 0, 6, 52
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\services\profile\types.ts", "TypeScript", 0, 2, 0, 0, 2
"Total", "-", 838, 510, 0, 164, 1512
