"filename", "language", "TypeScript", "JavaScript", "TypeScript JSX", "Markdown", "comment", "blank", "total"
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\applications.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 5
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\employerApplications.ts", "TypeScript", 233, 0, 0, 0, 0, 44, 277
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\employerGigs.ts", "TypeScript", 9, 0, 0, 0, 0, -1, 8
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\gigs.ts", "TypeScript", 43, 0, 0, 0, 0, 0, 43
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\schema.ts", "TypeScript", 75, 0, 0, 0, -2, 5, 78
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\schema_fixed.ts", "TypeScript", -629, 0, 0, 0, -124, -109, -862
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\APPLICATION_STATUS_LIFECYCLE.md", "Markdown", 0, 0, 0, 45, 0, 14, 59
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\app\app\employer\gigs\[gigId]\applications\[applicationId]\page.tsx", "TypeScript JSX", 0, 0, 384, 0, 0, 36, 420
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\app\app\employer\gigs\[gigId]\applications\page.tsx", "TypeScript JSX", 0, 0, 15, 0, 0, 0, 15
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\app\app\employer\gigs\[gigId]\page.tsx", "TypeScript JSX", 0, 0, 11, 0, 0, 0, 11
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\app\app\employer\gigs\_components\ApplicationActions.tsx", "TypeScript JSX", 0, 0, 7, 0, 0, 0, 7
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\app\app\employer\gigs\_components\CreateGigForm.tsx", "TypeScript JSX", 0, 0, -2, 0, 0, 0, -2
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\app\app\employer\gigs\_components\GigApplicationsTable.tsx", "TypeScript JSX", 0, 0, 22, 0, 0, -1, 21
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\app\app\employer\gigs\page.tsx", "TypeScript JSX", 0, 0, 2, 0, 0, 0, 2
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\app\app\employer\page.tsx", "TypeScript JSX", 0, 0, -8, 0, 0, 0, -8
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\applications\ApplicationCard.tsx", "TypeScript JSX", 0, 0, -1, 0, 0, -1, -2
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\applications\ApplicationFilters.tsx", "TypeScript JSX", 0, 0, -6, 0, 0, -1, -7
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\applications\ApplicationsContent.tsx", "TypeScript JSX", 0, 0, 13, 0, 0, 0, 13
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\components\gigs\apply\GigApplyForm.tsx", "TypeScript JSX", 0, 0, 18, 0, 0, -1, 17
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\env.js", "JavaScript", 0, -2, 0, 0, 0, 0, -2
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\lib\server\applications.ts", "TypeScript", 15, 0, 0, 0, 0, 2, 17
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\lib\server\gigs.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 6
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\types\applications.ts", "TypeScript", 26, 0, 0, 0, 0, 2, 28
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\utils\fetchers-server.ts", "TypeScript", 74, 0, 0, 0, 0, 9, 83
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\utils\gig-mappers.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 2
"Total", "-", -141, -2, 455, 45, -126, -2, 229
