"filename", "language", "Markdown", "TypeScript", "TypeScript JSX", "YAML", "comment", "blank", "total"
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\README.md", "Markdown", 42, 0, 0, 0, 0, 11, 53
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\_generated\api.d.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 6
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\chatConversations.ts", "TypeScript", 0, 284, 0, 0, 26, 49, 359
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\chatMessages.ts", "TypeScript", 0, 136, 0, 0, 0, 28, 164
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\employerApplications.ts", "TypeScript", 0, 13, 0, 0, 0, 1, 14
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\employerGigs.ts", "TypeScript", 0, 12, 0, 0, 0, 1, 13
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\internal\chatAssignments.ts", "TypeScript", 0, 99, 0, 0, 0, 17, 116
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\internal\index.ts", "TypeScript", 0, 4, 0, 0, 0, 1, 5
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\internal\walletMutations.ts", "TypeScript", 0, 4, 0, 0, 0, 1, 5
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\schema.ts", "TypeScript", 0, 71, 0, 0, -4, 1, 68
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\APPLICATION_STATUS_LIFECYCLE.md", "Markdown", 1, 0, 0, 0, 0, 0, 1
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\pnpm-lock.yaml", "YAML", 0, 0, 0, 6, 0, 2, 8
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\app\app\employer\gigs\[gigId]\applications\[applicationId]\page.tsx", "TypeScript JSX", 0, 0, 1, 0, 0, 1, 2
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\app\app\employer\gigs\[gigId]\edit\actions.ts", "TypeScript", 0, -3, 0, 0, 0, 0, -3
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\app\app\employer\gigs\[gigId]\edit\page.tsx", "TypeScript JSX", 0, 0, 5, 0, 0, 0, 5
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\app\app\employer\gigs\[gigId]\page.tsx", "TypeScript JSX", 0, 0, -2, 0, 0, 0, -2
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\app\app\employer\gigs\_components\GigEditorForm.tsx", "TypeScript JSX", 0, 0, 3, 0, 0, 0, 3
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\app\app\employer\gigs\_components\hooks\useGigSkillManager.ts", "TypeScript", 0, -3, 0, 0, 0, 0, -3
