"filename", "language", "TypeScript JSX", "TypeScript", "Markdown", "comment", "blank", "total"
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\DEBUG_PROGRESS_TRACKING.md", "Markdown", 0, 0, -179, 0, -71, -250
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\DOCKER_README.md", "Markdown", 0, 0, -101, 0, -38, -139
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\ENTERPRISE_USER_INITIALIZATION_COMPLETE.md", "Markdown", 0, 0, -203, 0, -82, -285
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\FIX_COMPLETE.md", "Markdown", 0, 0, -99, 0, -25, -124
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\FIX_SUMMARY_LOGGING_SAMPLING.md", "Markdown", 0, 0, -114, 0, -36, -150
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\IMPLEMENTATION_COMPLETE.md", "Markdown", 0, 0, -128, 0, -56, -184
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\LMS_QA_CHECKLIST.md", "Markdown", 0, 0, -200, 0, -71, -271
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\LMS_README.md", "Markdown", 0, 0, -322, 0, -95, -417
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\LOGGING_SAMPLING_GUIDE.md", "Markdown", 0, 0, -94, 0, -32, -126
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\PINO_TRANSPORT_FIX.md", "Markdown", 0, 0, -97, 0, -24, -121
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\PROGRESS_DEBOUNCE_SYSTEM.md", "Markdown", 0, 0, -291, 0, -86, -377
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\README.md", "Markdown", 0, 0, -272, 0, -88, -360
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\SIDEBAR_IMPLEMENTATION_COMPLETE.md", "Markdown", 0, 0, -205, 0, -72, -277
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\SKILLS_IMPLEMENTATION_COMPLETE.md", "Markdown", 0, 0, -120, 0, -53, -173
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\TESTING.md", "Markdown", 0, 0, -147, 0, -49, -196
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\VERCEL_ENV_SETUP.md", "Markdown", 0, 0, -32, 0, -5, -37
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\VERCEL_SETUP_GUIDE.md", "Markdown", 0, 0, -85, 0, -35, -120
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\chatMessages.ts", "TypeScript", 0, 6, 0, 0, 0, 6
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\convex\users.ts", "TypeScript", 0, 48, 0, 4, 7, 59
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\DEBUG_PROGRESS_TRACKING.md", "Markdown", 0, 0, 179, 0, 71, 250
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\DOCKER_README.md", "Markdown", 0, 0, 101, 0, 38, 139
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\ENTERPRISE_USER_INITIALIZATION_COMPLETE.md", "Markdown", 0, 0, 203, 0, 82, 285
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\FIX_COMPLETE.md", "Markdown", 0, 0, 99, 0, 25, 124
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\FIX_SUMMARY_LOGGING_SAMPLING.md", "Markdown", 0, 0, 114, 0, 36, 150
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\IMPLEMENTATION_COMPLETE.md", "Markdown", 0, 0, 128, 0, 56, 184
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\LMS_QA_CHECKLIST.md", "Markdown", 0, 0, 200, 0, 71, 271
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\LMS_README.md", "Markdown", 0, 0, 322, 0, 95, 417
