"filename", "language", "Ignore", "JavaScript", "TypeScript", "Docker", "YAML", "Markdown", "Shell Script", "TypeScript JSX", "PostCSS", "XML", "JSON with Comments", "JSON", "comment", "blank", "total"
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.dockerignore", "Ignore", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 54
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.github\CI-CD-README.md", "Markdown", 0, 0, 0, 0, 0, 266, 0, 0, 0, 0, 0, 0, 0, 113, 379
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.github\SETUP.md", "Markdown", 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 32, 106
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.github\WORKFLOW-SUMMARY.md", "Markdown", 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 53, 175
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.github\copilot-instructions.md", "Markdown", 0, 0, 0, 0, 0, 162, 0, 0, 0, 0, 0, 0, 0, 30, 192
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.github\instructions\GSY-ARCH-APPLICATIONS-2025-01.md", "Markdown", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 17, 67
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.github\instructions\GSY-ARCH-CHAT-2025-01.md", "Markdown", 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 24, 94
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.github\instructions\GSY-ARCH-GAME-2025-01.md", "Markdown", 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 24, 100
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.github\instructions\GSY-ARCH-GIGS-2025-01.md", "Markdown", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 19, 70
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.github\instructions\GSY-ARCH-LEDGER-2025-01.md", "Markdown", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 20, 75
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.github\instructions\GSY-ARCH-LMS-2025-01.md", "Markdown", 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 25, 120
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.github\instructions\GSY-ARCH-USERS-2025.md", "Markdown", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 18, 72
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.github\instructions\Gigsy Long Term Technical Architecture.md", "Markdown", 0, 0, 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 110, 224
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.github\instructions\clerk.instructions.md", "Markdown", 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 30, 92
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.github\instructions\convex.instructions.md", "Markdown", 0, 0, 0, 0, 0, 606, 0, 0, 0, 0, 0, 0, 0, 70, 676
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.github\instructions\draft\Jotai.instructions.md", "Markdown", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.github\instructions\draft\containerization-docker-best-practices.instructions.md", "Markdown", 0, 0, 0, 0, 0, 604, 0, 0, 0, 0, 0, 0, 1, 77, 682
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.github\instructions\draft\github-actions-ci-cd-best-practices.instructions.md", "Markdown", 0, 0, 0, 0, 0, 551, 0, 0, 0, 0, 0, 0, 1, 56, 608
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.github\instructions\draft\jest.instructions.md", "Markdown", 0, 0, 0, 0, 0, 494, 0, 0, 0, 0, 0, 0, 0, 124, 618
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.github\instructions\draft\markdown.instructions.md", "Markdown", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 12, 53
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.github\instructions\draft\memory-bank.instructions.md", "Markdown", 0, 0, 0, 0, 0, 232, 0, 0, 0, 0, 0, 0, 0, 67, 299
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.github\instructions\draft\sentry.instructions.md", "Markdown", 0, 0, 0, 0, 0, 261, 0, 0, 0, 0, 0, 0, 0, 73, 334
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.github\instructions\draft\tailwind.instructions.md", "Markdown", 0, 0, 0, 0, 0, 451, 0, 0, 0, 0, 0, 0, 0, 89, 540
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\.github\instructions\draft\zod.instructions.md", "Markdown", 0, 0, 0, 0, 0, 249, 0, 0, 0, 0, 0, 0, 0, 65, 314
